backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
1,1198257207,50,1,356,26,0,0,21,4,13,0.000007895,0.325842697,0.156626506,0.347150259,0.000179993,0.000000097,0.000007895
30,1418097942,8560,1,29,11,0,1,21,10,13,0.001351587,0.337078652,0.638554217,0.689119171,0.000084993,0.000035104,0.001351587
23,1390725018,500,1.3113877,292,11,0,1,9,6,5,0.000103531,0.550561798,0.265060241,0.518134715,0.000005238,0.000043572,0.00010058
64,607696802,7820,1,278,15,0,1,21,10,13,0.001234744,0.325842697,0.21686747,0.689119171,0.000076243,0.000035749,0.001234744
42,2043055572,90883.8,0.05034233,293,11,1,1,15,11,8,0.00072242,0.438202247,0.240963855,0.207253886,0.000045301,0.0000352,0.000713689
23,1232874361,1810,0.74677022,276,15,0,1,3,3,1,0.00021342,0.337078652,0.686746988,0.564766839,0.000007461,0.000063092,0.000209212
5,408424235,679,1,23,1,0,0,21,4,13,0.000107211,0.348314607,0.65060241,0.585492228,0.000049993,0.000004734,0.000107211
18,773010567,795,1,276,15,0,1,21,6,13,0.000125527,0.06741573,0.493975904,0.398963731,0.000002493,0.000110847,0.000125527
48,1908080061,6289,1,263,9,0,1,21,8,13,0.000993006,0.325842697,0.469879518,0.554404145,0.000019993,0.00010961,0.000993006
7,626209178,230,1,322,14,0,0,21,9,13,0.000036316,0.494382022,0.578313253,0.580310881,0.000959993,0.000000084,0.000036316
0,208568374,0,1,23,1,0,0,21,4,13,0,0.325842697,0.072289157,0.694300518,0.000049993,0,0
7,334316434,76,1,276,15,0,0,21,12,13,0.000012,0.561797753,0.686746988,0.694300518,0.000041993,0.000000631,0.000012
0,849623421,0,1,356,26,0,0,21,7,13,0,0.325842697,0.13253012,0.658031088,0.000049993,0,0
92,1877983555,3500,1,345,26,0,1,21,2,13,0.000552635,0.314606742,0.204819277,0.383419689,0.000003993,0.000305004,0.000552635
0,1842992054,0,0.0525559,49,18,0,0,15,12,8,0,0.494382022,0.289156627,0.658031088,0.000007876,0,0
2,870764794,6,1,278,15,0,0,21,9,13,0.000000947,0.269662921,0.325301205,0.316062176,0.000016993,0.000000123,0.000000947
30,1816644037,1627,1,21,1,0,0,21,3,13,0.000256896,0.337078652,0.397590361,0.580310881,0.000049993,0.000011343,0.000256896
1,1974326089,8,1,343,26,0,0,21,3,13,0.000001263,0.325842697,0.204819277,0.357512953,0.000014993,0.000000186,0.000001263
12,2069664025,147,1,356,26,0,1,21,6,13,0.000023211,0.235955056,0.156626506,0.569948187,0.000001073,0.000047445,0.000023211
95,2072655508,6906,1,23,1,0,1,21,5,13,0.001090428,0.325842697,0.240963855,0.637305699,0.000065993,0.000036474,0.001090428
28,213946584,449,1.32646578,24,1,0,1,9,10,5,0.00009404,0.303370787,0.698795181,0.601036269,0.000004635,0.000044717,0.000094106
135,1540679556,2875,1,361,13,0,1,21,6,13,0.00045395,0.056179775,0.530120482,0.678756477,0.000011993,0.000083513,0.00045395
0,702161564,0,1,361,13,0,0,21,8,13,0,0.325842697,0.614457831,0.689119171,0.000002493,0,0
1,727810666,1,1,21,1,0,0,21,10,13,0.000000158,0.662921348,0.698795181,0.512953368,0.000039993,0.000000009,0.000000158
16,1992104464,651,1,49,18,1,0,21,9,13,0.00010279,0.337078652,0.481927711,0.663212435,0.000149993,0.000001513,0.00010279
2,2082665526,51,1,328,18,0,0,21,6,13,0.000008053,0.662921348,0.337349398,0.564766839,0.000099993,0.000000178,0.000008053
84,1545921551,3300.29,0.76802851,21,1,0,1,3,10,1,0.000400221,0.325842697,0.506024096,0.694300518,0.000023034,0.000038347,0.000393476
70,1443248043,1976,1.3873089,263,9,0,1,9,2,5,0.000432843,0.314606742,0.578313253,0.538860104,0.00000138,0.000688785,0.000448424
1,1601480405,25,1,29,11,0,0,21,9,13,0.000003947,0.662921348,0.506024096,0.678756477,0.000299993,0.000000029,0.000003947
97,232350923,6575.99,1,36,14,1,1,21,9,13,0.00103832,0.325842697,0.373493976,0.626943005,0.000059993,0.000038204,0.001038164
1,749306745,1,1,21,1,0,0,21,11,13,0.000000158,0.325842697,0.313253012,0.621761658,0.000004993,0.00000007,0.000000158
132,292573961,17922.42,1,51,16,1,1,21,9,13,0.002829873,0.528089888,0.43373494,0.689119171,0.000099993,0.000062473,0.002829807
38,385088673,2389,1,23,1,1,1,21,10,13,0.000377213,0.325842697,0.156626506,0.621761658,0.000004993,0.000166549,0.000377213
51,368335931,46787.8,0.05250722,350,26,1,1,15,7,8,0.000387902,0.258426966,0.21686747,0.642487047,0.000023621,0.000036242,0.000396002
5,786131616,380,1,356,26,0,0,21,2,13,0.00006,0.157303371,0.554216867,0.642487047,0.000099993,0.000001325,0.00006
5,2142782482,72,1.16543732,51,16,0,0,5,7,4,0.000013249,0.325842697,0.614457831,0.404145078,0.000017474,0.000001673,0.000013263
2,87438138,45,1,29,11,0,0,21,3,13,0.000007105,0.382022472,0.265060241,0.663212435,0.001499993,0.00000001,0.000007105
112,1841319324,16737.5,0.78069985,31,11,1,1,1,2,0,0.002063217,0.314606742,0.602409639,0.559585492,0.000117098,0.000038895,0.002080749
13,545874068,524,0.75473863,344,26,0,1,3,6,1,0.000062445,0.157303371,0.554216867,0.533678756,0.000000748,0.000182654,0.000064895
30,1886623983,1020,1,328,18,0,1,21,2,13,0.000161054,0.337078652,0.289156627,0.471502591,0.000007993,0.000044443,0.000161054
